algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,K,n_seeds_tried,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,display_name
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,1.009616052993806,186,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_cheb_d50,0,0,2.627944871004729,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,1.0069194770039758,139,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_cheb_d50,0,0,2.847226490994217,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
MS_Random(K=5),mc_n300_p005_k15_001,maximum_clique,3.0,0.0045708350007771514,10,3,15,0.06666666666666667,False,"[152, 184, 263]",5,5.0,mc_n300_p005_k15,MS_Random_K5,1,1,1.4853902789982385,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=5),mc_n300_p005_k15_001,maximum_clique,15.0,0.02065817300172057,70,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_Degree_K5,1,1,1.519650027003081,300,external,MS_Degree,N/A,MS_Degree
ClassicalClique,mc_n300_p005_k15_001,maximum_clique,15.0,0.007663925003726035,15,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",0,,mc_n300_p005_k15,ClassicalClique,1,1,1.9632632049979293,300,external,ClassicalClique,N/A,ClassicalClique
MS_Random(K=10),mc_n300_p005_k15_001,maximum_clique,15.0,0.015421030999277718,44,15,15,1.0,False,"[0, 288, 192, 262, 295, 9, 42, 169, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_Random_K10,1,1,1.2262029259945848,300,external,MS_Random,N/A,MS_Random
MS_Random(K=20),mc_n300_p005_k15_001,maximum_clique,15.0,0.10420812699885573,66,15,15,1.0,False,"[0, 192, 288, 262, 295, 169, 9, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_Random_K20,1,1,1.3674353179958416,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k15_001,maximum_clique,15.0,0.03973980100272456,140,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_Degree_K10,1,1,1.48120809700049,300,external,MS_Degree,N/A,MS_Degree
MS_Degree(K=20),mc_n300_p005_k15_001,maximum_clique,15.0,0.15347828200174263,198,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_Degree_K20,1,1,1.546336979001353,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k15_001,maximum_clique,15.0,0.10388267300004372,86,15,15,1.0,False,"[0, 288, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_Random_K30,1,1,1.5095520459944964,300,external,MS_Random,N/A,MS_Random
